2763,[13-02-2026] DatesheetB.Sc. N. 2nd 3rd 4th & 5th Semesters Exam March 2026,DatesheetB.Sc. N. 2nd 3rd 4th & 5th Semesters Exam March 2026.pdf,
2762,[13-02-2026] Datesheet B.Sc. N. 3rd & 4th Supplementary Exam Feb 2026,Datesheet B.Sc. N. 3rd & 4th Supplementary Exam Feb 2026.pdf,
2759," [04-02-2025] Notice for Online Open PhD Viva voce of Mr. Khalid Mehraj, Research Scholar, Department of Management Studies on 11th Feb 2026",Notice for PhD Viva Voce of Khalid Mehraj Feb 2026.pdf,
2758,[03-02-2026] Rescheduling of examination for CSE and ITE branches(7th semester),Block chain Technologies.pdf,
2756,[27-01-2026] Postponement Notification for Theory Examinations scheduled on 29-01-2026 and 30-01-2026 for Integrated-MCA Regular Students (Semester-V) and Integrated-MCA Old Course Backlog Students (Semester-III),Postponement of Theory Examinations .pdf,
2755,( 23-01-2026) Revised date sheet: B.Voc Tourism and Travel Management,IMG-20260123-WA0029.pdf,
2754,( 23-01-2026 ) Revised Date Sheet: MBAHTM 1st & 3rd Semester,New Doc 01-23-2026 14.45.pdf,
2753,"(20-01-2026) Revised Date Sheet for End Term Theory Examinations of BCA (Semester-I) Regular course under NEP- 2020, January 2026",BCA Semester-I Date Sheet.pdf,
2752,(16-01-2026) Reschedule of Course name Object Oriented Programming using Java and notification of HSMC -EE-701 course,Reschedule and new course.pdf,
2751,"(16-01-2026) Datesheet of BBA- 1st (Regular) commencing from January 28, 2026",Datesheet of BBA 1st Semester Exam held in January 2026 R.pdf,
2750,"(15-01-2026) Date sheet Msc 3rd Semester Physics
",IMG-20260112-WA0007.pdf,
2749,"(15-01-2026) Date sheet Msc 3rd Semester
Physics",IMG-20260112-WA0008.pdf,
2746,(15-01-2026) Date Sheet of Journalism and Mass communication programme,"Date sheet Journalism and Mass Communication,1st sem 2026.pdf",
2744,"[12-01-2026] 'Datesheet MA Economics Semester I and III, Regular and Backlog 2025",Datesheet MA Economics .pdf,
2743,[30-12-2025] Corrigendum-1  of BBA -5th semester  2026,Corrigendum-1  of BBA -5th semester  2026.pdf,
2741,[30-12-2024] Date Sheet MBA Dec 2025,Date Sheet MBA Dec 2025.pdf,
2740,"[30-12-2025] Datesheet of BBA 1st, 3rd, 5th & 7th (Regular & Backlog) January 2026","Datesheet of BBA 1st, 3rd, 5th & 7th (Regular & Backlog) January 2026.pdf",
2739,"[29-12-2025] Date Sheet for End Term Theory Examinations of BCA (Semester-I) Regular course under NEP- 2020, January 2026",Datesheet BCA-I (1).pdf,
2736,"[25-12-2025] Date Sheet for End Term Theory Examinations of Integrated MCA and MCA (Odd Semesters) Regular/Backlog, January 2026",Theory Date sheet for IMCA-MCA (Odd Semesters) 2026.pdf,
2735,[24-12-2025] B.Tech theory examination date sheet,BTECH THEORY DATESHEET NEW (3)_compressed.pdf,
2733,[24-12-2025] MTech Theory datesheet,MTech Theory datesheet (1).pdf,
2732,"[22-12-2025] ph.d viva voce scheduled to be held on 29th December, 2025 , in CHT",New Doc 12-22-2025 10.19.pdf,
2731,[22-12-2025] Revised date for 29th December lab examination (1st semester),Revised date for 29th December lab examination (1st semester).pdf,
2730,[22-12-2025] Revised Dates for STAAD pro/CAD lab,"DocScanner Dec 20, 2025 21-12.pdf",
2729,"[21-12-2025] Notice for Online Open PhD Viva voce of Mr. Aabid Yousuf, Research Scholar, Department of Management studies on 30th Dec 2025",Notice for Open PhD Viva Voce of Mr. Aabid Yousuf on 30 Dec 2025.pdf,
2728,"Notice for Online Open PhD Viva voce of Mr. Aabid Yousuf, Research Scholar, Department of Management studies on 30th Dec 2025",Notice for Open PhD Viva Voce of Mr. Aabid Yousuf on 30 Dec 2025.pdf,
2727,[19-12-2025]  Revised Date Sheet for External Practical Examinations- 2025 for Integrated-MCA and MCA courses  Odd Semesters  - Regular/Backlog.,RevisedDatesheet for Regula and Backlog practical exams Dec 2025.pdf,
2725,[14-12-2025] Datasheet for STAAD Pro/ CAD Lab (Old Course),"Datesheet for STAAD Pro,CAD Lab.pdf",
2722,[14-12-2025] Revised dates for 26th December 2025 lab examination,Postponement of 26 December 2025 LabExam.pdf,
2719,[11-12-2025] Date sheet for the M.Tech Lab examination,MTech Lab Datesheet.pdf,
2718,[11-12-2025] Date sheet for the B.Tech Lab examination Dec- 2025,B.Tech Lab datesheet.pdf,
2716,[30-10-2025] Syllabus for Super 30 coaching of IAS/KAS,unidata/univexaminations/Syllabus Super30-1.pdf,~/uniimg/newgif.gif
2714,"[19-08-2025] Decision of Unfairmeans cases which are reported during January -Februrary, 2025","unidata/univexaminations/Decision of Unfairmeans caseswhich are reported during January -Februrary, 2025.pdf",~/uniimg/newgif.gif
2712,"[22-07-2025]Date Sheet for (Major Project) , 2025 for Integrated-MCA (Semester-VI & Semester-X) and MCA (4thSemester ) - (Regular) """,unidata/univexaminations/date sheet for Major Project (MCA-IMCA).pdf,~/uniimg/newgif.gif
2711,"[22-07-2025] Date Sheet for the Conduct of External Practical Examinations for Integrated-MCA  and MCA Even semesters - August 2025""",unidata/univexaminations/Date Sheet for the Conduct of External Practical Examinations.pdf,~/uniimg/newgif.gif
2710,[22-07-2025] Revised date for Cryptography and Network security (PCC-ITE-622),unidata/univexaminations/Cryptography and Network Security.pdf,~/uniimg/newgif.gif
1713,"Revised date sheets for B.Sc (N) year examinations, July-August 2025",unidata/univexaminations/year wise date sheet revised.pdf,~/uniimg/newgif.gif
1711,[19-07-2025] Revised date sheets for B.Sc (N) semester examination.,unidata/univexaminations/Revised semester date sheet.pdf,~/uniimg/newgif.gif
1710,[07-07-2025] Unfairmeans Meeting Notice for the students who involved in the Unfairmeans during conduct of the examination,unidata/univexaminations/Unfairmeans Meeting Notice for the students who involved in the Unfairmeans during conduct of the examination.pdf,~/uniimg/newgif.gif
1708,[03-06-2025]Date Sheet of MBAHTM 2nd sem,unidata/univexaminations/Date Sheet of MBAHTM 2nd sem.pdf,~/uniimg/newgif.gif
1707,"[03-06-2025] Date Sheet for End Term Examination (Regular & Backlog) of MBA-II, BBA-II and BBA-IV","unidata/univexaminations/Datesheet of MBA 2nd Semester and BBA 2nd, 4th semester Exam to be held from July 17, 2025 (1).pdf",~/uniimg/newgif.gif
1706,"[31-05-2025]""Revised Datesheet for the conduct of Even Semester End Term Examination of MCA and Integrated-MCA held in July-August-2025""

",unidata/univexaminations/Date sheet July 2025 MCA-Integrated-MCA (Even semester Examination).pdf,~/uniimg/newgif.gif
1704,[29-05-2025] Lab Datesheet for Digital Signal Processing Lab,unidata/univexaminations/DSP Lab.pdf,~/uniimg/newgif.gif
1703,[29-05-2025] Revised Date sheet Theory(4th and 6th sem) University Polytechnic,unidata/univexaminations/Revised Date sheet Theory(4th and 6th sem) University Polytechnic.pdf,~/uniimg/newgif.gif
1702,[29-05-2025] Revised Date sheer Practical (4th and 6th) University Polytechnic,unidata/univexaminations/Revised Date sheer Practical (4th and 6th) University Polytechnic.pdf,~/uniimg/newgif.gif
1701,"[27-05-2025]""Revised notice for PhD Viva Voce of Ms. Haadiya Chishti""
",unidata/univexaminations/Notice for Online Viva-Voce of HAADIYAH CHISTI-1.pdf,~/uniimg/newgif.gif
1699,[23-05-2025] Revised Major Project date - Civil department,unidata/univexaminations/Civil Major Project.pdf,~/uniimg/newgif.gif
1698,"[22-05-2025] Revised Date sheet for B. Tech Lab examination (2nd,4th,6th sem)",unidata/univexaminations/Lab.pdf.pdf,~/uniimg/newgif.gif
1696,"[22-05-2025] Fwd: Revised Date sheet for B. Tech theory examination(2nd,4th,6th sem)",unidata/univexaminations/Theory.pdf.pdf,~/uniimg/newgif.gif
1695,[22-05-2025] Pre PhD Seminar of Mr. PM Osman,unidata/univexaminations/ACE Scanner_2025_05_21.pdf,~/uniimg/newgif.gif
1694,[20-05-2025] Ph.D. presentation/viva-voce of Ms. Najmu Nissa,unidata/univexaminations/Ms Najuma Nissa Ph.D viva Re-Scheduled notification.pdf,~/uniimg/newgif.gif
1693,[20-05-2025] Date Sheet for Reappear End Term Examination (BBA-624),unidata/univexaminations/Reappear Date Sheet Reappear May 2025.pdf,~/uniimg/newgif.gif
1692,[16-05-2025] Re-Notification of End Term Examination (May 2025) Date Sheet for MBA Semester-IV (Regular) and BBA-VI (Regular and Backlog),unidata/univexaminations/Date Sheet BBA-VI and MBA-IV May 2025.pdf,~/uniimg/newgif.gif
