3280,[17-10-2025] Circular Pooja Holidays,researchfile/Circular Pooja Holidays.pdf
2280,[17-09-2025] Anti Ragging Awareness and Outreach Programmes BGSB University Rajouri J&K  (August 2025),researchfile/DOC-20250909-WA0019..pdf
2278,[03-09-2025] Circular regarding instructions for passout students of the academic session 2013-2014 and 2023-2024,researchfile/Circular regarding instructions for passout students of the academic session 2013-2014 and 2023-2024 (1).pdf
2277,[19-08-2025] Order regarding enhance the DA in favour of eligible pensioner -Family pensioner.,researchfile/Order regarding enhance the DA in favour of eligible pensioner -Family pensioner..pdf
2275,[14-08-2025] Information regarding flag Hoisting Ceremony on the Occasion of Independence Day 2025,researchfile/Information regarding flage Hoisting Ceremony on the Occasion of Independence Day 2025..pdf
2273,"[12-08-2025] Submission of Examination Application forms for Odd semesters (III & V) Exam held in December, 2025","researchfile/Submission of online Examination Application forms of Diploma Engineering Odd semesters III & V December, 2025 (1).pdf"
2271,[08-08-2025] odd semester fee circular 2025.pdf,researchfile/odd semester fee circular 2025.pdf
2270,"[07-08-2025] Dr. Gulfam Ahamad AP, shall function as Technical coordinator for all activities to My Bharat",researchfile/OM regarding Technical Coordinator for MY Bharat Portal.pdf
1273,[07-07-2025] Unfairmeans Meeting Notice for the students who involved in the Unfairmeans during conduct of the examination,researchfile/Unfairmeans Meeting Notice for the students who involved in the Unfairmeans during conduct of the examination.pdf
1271,[18-06-2025] Circular regarding 11th International Day for Yoga 2025,researchfile/Circular regarding 11th International Day for Yoga 2025..pdf
271,[10-06-2025] Circular regarding ban on single use plastic in the University Campus,researchfile/Circular regarding ban on single use plastic in the University Campus..pdf
269,[27-05-2025] Dr. Shams Kamal Associate Dean School of Humanities and Language,researchfile/Dr. Shams Kamal Associate Dean School of Humanities and Language.pdf
267,[20-05-2025] Committee for smooth implementation of National Education Policy-2020 ( reconstituted).,researchfile/Committee for smooth implementation of National Education Policy-2020 ( reconstituted)..pdf
266,[20-05-2025] Order regarding Students related activities at BGSBU  shall resume with immediate effect.,researchfile/Order regarding Students related activities at BGSBU  shall resume with immediate effect..pdf
265,"[15-05-2025] All employees of BGSB University shall report for duty w.e.f. May 16,2025.","researchfile/All employees of BGSB University shall report for duty w.e.f. May 16,2025..pdf"
263,"[25-04-2025] Order of Dr. Titi Xavier as Chief  Warden  Hall of Residence  Nursing 
",researchfile/Order of Chief Warden Nursing.pdf
261,[24-04-2025]postponed of Two Day National Seminar on Religious Tourism,researchfile/1745384773211_Seminar Postponed.pdf
260,"[22-04-2025] Dr.Shoeb Ahmed,AP, Department of Biotechnology shall function as Secretary to the Dean Academic Affairs.","researchfile/Dr.Shoeb Ahmed,AP, Department of Biotechnology shall function as Secretary to the Dean Academic Affairs..pdf"
258,[16-04-2025] Dr.Mariya Aslam I/C Head Department of English shall function as OSD to HVC.,"researchfile/Dr. Mariya Aslam shall function as OSD to Vice  Chancellor, BGSBU.pdf"
257," [16-04-2025] Order regarding charge of Dean 
 SoET shall remain Hon'ble Vice Chancellor.","researchfile/Charge of Dean, SOET shall remain with Vice Chancellor,BGSBU.pdf"
255,"[10-04-2025] Circular regarding celebration of Rajouri day on April 11,2025.",researchfile/circular (1).pdf
253,[04-04-2025] Advanced Research Methods and Time-Series Analysis,researchfile/Economics Workshop Brochure Final.pdf
251,[15-02-2025] order regarding enhancement of DA in favour of eligible pensioners.,researchfile/order regarding enhancement of DA in favour of eligible pensioners..pdf
250,[05-02-2025] Order regarding  establishment of ' Equal Opportunity Cell',researchfile/Order regarding  establishment of ' Equal Opportunity Cell'.pdf
249,[05-02-2025] Order regarding establishment of SC-ST Cell.,researchfile/Order regarding establishment of SC-ST Cell..pdf
248,"[ 31-01-2025] Circular regarding Income tax calculation ",researchfile/Circular regarding Income Tax Calculation (2).pdf
246,[29-01-2025] Call for Suggestions / Input from Stakeholders for Vision Document of BGSBU.,"researchfile/DocScanner Jan 29, 2025 1-57 PM (2).pdf"
242,"[20-01-2025] Circular regarding flag Hoisting Ceremony on 26th of January, 2025","researchfile/Circular regarding flag Hoisting Ceremony on 26th of January, 2025..pdf"
240,[08-01-2025] Spokesperson of the University.,"researchfile/DocScanner Jan 7, 2025 3-47 PM (1).pdf"
239,Fee circular for Even Semesters,researchfile/Fee circular for Even Semestets.pdf
238,Order regarding issuance of all degrees Diplomas of previous years,researchfile/Order regarding issuance of all degrees Diplomas of previous years.pdf
237,[01-01-2025] Order  online training-Webinars regarding SAMARTH.,researchfile/Order  online training-Webinars regarding SAMARTH..pdf
236,Order regarding for visiting of Hon'ble Vice Chancellor Secretariat,researchfile/Order regarding for visiting of Hon'ble Vice Chancellor Secretariat.pdf
232,Circular Regarding Gate-Pass for Students,researchfile/Circular for gate pass students.pdf
231,"Dr. Md. Affan Appointed as Coordinator, Department of Arabic",researchfile/Coordinator ordermdaffan.pdf
230,Circular regarding registration of Employees under Ayushman Bharat Yojna,researchfile/DocScanner 7 Sept 2022 10-20 am.pdf
229,Circular regarding Har Ghar Tiranga,researchfile/Circular regarding Har Ghar Tiranga.pdf
227,Circular regarding CID verification of Contractual Employees,researchfile/DocScanner 5 Aug 2022 2-45 pm.pdf
226,"Centre for Research in Gojri, Pahari and Kashmiri Language will function Under the Control of Dean Academic Affairs for all its Administrative and Academic Activities",researchfile/Research in Gojri Phari & Kashmiri Languages under the direct of DAA (1).pdf
225,"Dr. Ali Asghar Shah, Associate Dean, shall function as Officer Incharge University Work Wing",researchfile/Dr Ali Asghar ShahAssociate Deanshall function as Officer Incharge University Work Wing.pdf
224,"Dr. Titi Xaiver appointed as Associate Dean, School of Nursing and Biomedical Sciences",researchfile/Dr. Titi Xaiver appointed as Associate Dean.pdf
223,"Dr. Mohd Asgher, A.P. Botany shall function as Coordinator, Dept. of Botany",researchfile/DrMohd AsgherAP appointed as Coordinator Depttof Botany.pdf
222,"Dr. Ali Asghar Shah shall function as Associate Dean, School of Biosciences and Biotechnology",researchfile/Dr. Ali Asghar Shah as Associate Dean School of Bioscience and Biotechnology.pdf
221,Circular regarding Income Tax for Financial Year 2021-22,researchfile/Income Tax Circular FY 2021-22.pdf
220,Circular regarding Ban on Polythene Products in the Campus,researchfile/circularregarding polythene freecampus .pdf
219,Circular Regarding Vaccination Drive,researchfile/Circularregarding vaccination drive (1).pdf
218,Notification regarding manditory Vaccination Certificate Submission,researchfile/1212.pdf
217,"Circular Regarding CoVID-19 Vaccination Drive on September 04, 2021 at University Health Centre",researchfile/vaccine circular 4sept 2021.pdf
216,"Invitation for Cultural Event scheduled on August 28 and 29, 2021",researchfile/Invitation to grace Cultural Event on 28 and 29.8.2021.pdf
215,Meeting Notice Regarding Two Day Cultural Festival 'Jashn-E- Rajouri-2',researchfile/27082021Meeting Notice.pdf
214,Order regarding Enhancement of DA to 28 percent and HRA to 9 percent,researchfile/DAHRA.pdf
213,Office Memo for information of the on roll students of BGSBU for Vaccination against COVID-19,researchfile/Office Memo for information of all the on roll students for Vaccination.pdf
212,Office Memo to ensure attendance of all the employees of the University,researchfile/Office Memo.pdf
211,Submission of Online Scholarship Applications under different Categories and Schemes for the year 2021-22,researchfile/scholarship notices.pdf
210,Order regarding 14 percent matching contribution for NPS Employees,researchfile/FouteenNPS.pdf
205,Notification regarding Independence day (Flag Hoisting Ceremony),researchfile/Notification regarding Independence day (Flag Hoisting Ceremony).pdf
204,"Notice in reference to the Decisions taken in the Meeting Held on July 27,2021",researchfile/Notice in reference to the meeting Held on July 272021.pdf
203,"Urgent Consultative Meeting Noticeon July 27, 2021",researchfile/Meeting Notice 27-07-2021.pdf
202,Apex Advisory Committee for Admission,researchfile/Apex Advisory Committee for Admission.pdf
201,"Last Date of submission of Online Admission Forms extended upto 31st July, 2021",researchfile/revised Extension Notification.pdf
199,Notification regarding extension of Summer Vacations 2021,researchfile/Notification regarding extension of SV.pdf
198,Notification regarding Covid-19 Containment and Management,researchfile/Notification regarding Covid-19 Containment and Management.pdf
197,All Deans/ HoD's/ Principals/ Coordinators/ Controlling Officers are required to Implement Government Order No:27-JK(DMRRR) of 2021 Dated:02-05-2021,researchfile/Notification 1SOP Updated.pdf
194,Condolence Message on sad demise of former VC BGSBU: Prof. Irshad Ahmad Hamal,researchfile/CondolenceExVC.pdf
193,"Order regarding ""BGSB University in Containment Zone"" and related Restrictions.",researchfile/Containment Zone.pdf
192,All Deans/ HoDs / Principals/ Coordinators/ Controlling Officers are advised to take appropriate action as per Government Order no 24-JK (DMRRR) of 2021 dated 27/04/2021.,researchfile/G-O No- 24 Dated 27-04-2021 28-Apr-2021 11-43-26(1).pdf.pdf
191,Dean SoET shall function as Chairman of IQAC with immediate effect,researchfile/IQAC Chairman.pdf
190,All Deans/ HoD's/ Principals/ Coordinators/ Controlling Officers are required to Implement Government Order No:174-JK (HE) of 2021 Dated:26-04-2021,researchfile/1619447962801_0_IMG-20210426-WA0022 (1).pdf
188,Most Urgent Order regarding furnishing List of Achievements for Year 2020-2021 (Time Bound),researchfile/Achievements.pdf
187,Office Memo regarding appointment of Chief Proctor.,researchfile/Order Chief Proctor.pdf
186,Circular regarding timing during the month of Ramadhan,researchfile/Ramadhan Timings.pdf
185,Various Committees for Smooth functioning of SoET,researchfile/Document 60.pdf
184,Condolence Message on untimely sad demise of Daughter of Sh. Nikhil Gupta,researchfile/Cond.pdf
183,"Programme on Gender Sensitization on 17 March, 2021",researchfile/1615890845603_women cell16032021.pdf
181,Circular regarding processing of files expeditiously,researchfile/Filesd.pdf
180,University to observe holiday on 12th March on eve on Shabi Mehraj,researchfile/Notification of Holiday.pdf
179,Circular regarding submission of files correspondence of teaching departments through Deans of respective Schools,researchfile/All files  correspondence of teaching deptts. through Dean of respective School.pdf
178,Registrar and Controller of Examination to accord financial approval upto Rs.25000,researchfile/RCEF.pdf
177,Office-Memo regarding formal Deputation Order,researchfile/c7.pdf
176,Office-Memo regarding allotment of Rooms in Guest House Jammu through the Office of the Registrar BGSBU,researchfile/c6.pdf
175,Office-Memo regarding submission of Time-Table of Ongoing Semesters to Dean Academic Affairs.,researchfile/c5.pdf
174,Office-Memo regarding Teaching-Learning Process and Technology Driven Anonymous Student Feedback,researchfile/c4.pdf
173,Office Memo regarding Orders/Circulars/Notifications pertaining to Students/Public to be uploaded on University Website on Regular Basis.,researchfile/c3.pdf
172,Notification regarding creation of International Students Cell in BGSB University,researchfile/ISC.pdf
171,"Notification regarding Supervision of IQAC, NIRF and India Today Ranking Cell in BGSBU",researchfile/iqacn.pdf
170,Notice regarding Commencement of offline classes w.e.f. 22/02/2021,researchfile/Office Memo(1) 18-Feb-2021 18-33-05.pdf
169,"Invitation for Repubic Day Celebration, 2021.",researchfile/Republic day.pdf
166,Foundation Day Celebration-2020,researchfile/Foundation Day-2020.pdf
165,"In reference to DDC Election in Rajouri Constituency, University Main Campus to observe holiday on 16-12-2020 ",researchfile/Order.pdf
164,All Teaching/Non Teaching Staff to attend Departments/Offices on Regular Basis w.e.f 10/12/2020,researchfile/CamScanner 12-09-2020 16.32.04.pdf
162,Circular regarding late DD submission of various dues,researchfile/DD Info.pdf
161,"Presentation on National Education Policy-2020 by Hon'ble Vice Chancellor on October 6, 2020",researchfile/circular regarding national Education Policy.pdf
160,Sanitization of University Campus on Daily Basis,researchfile/Circular fumigation.pdf
159,Reminder of Circular regarding Budget estimates 2020-21 and 2021-22,researchfile/Circular regarding Budget 2020-21 and 2021-22.pdf
158,"Instructions for Candidates appearing in Online Examinations August-September, 2020 amid COVID-19 Pandemic",researchfile/Instructions for online exams.pdf
157,"Guidelines/SOP's for Conducting Online Classes ",researchfile/Guidelines for online classes.pdf
156,Notification regarding Independence Day Celebration,researchfile/1.pdf
155,"Circular Regarding Budget Estimates, year 2020-21 and 2021-22",researchfile/Circular.pdf
154,University to remain closed w.e.f. 31/07/2020 to 04/08/2020 on the occasion of Eid ul Azha,researchfile/CamScanner 07-29-2020 18.04.38.pdf
