7075,7075.pdf,[09-03-2026] Ph. D Entrance syllabus of Civil Engineering,.pdf,7075.pdf
7074,7074.pdf,[09-03-2026] Ph. D. Entrance syllabus of EVS,.pdf,7074.pdf
7073,7073.pdf,[09-03-2026] Ph. D. Entrance syllabus of IT Department,.pdf,7073.pdf
7072,7072.pdf,"[09-03-2026] Interview for Academic Arrangement in Nursing Colleges, BGSB University",.pdf,7072.pdf
7071,7071.pdf,[26-02-2026] Invitation for Short Term Quotation--Biotechnology,.pdf,7071.pdf
7070,7070.pdf,[21-02-2026] Ph. D. syllabus of Management studies,.pdf,7070.pdf
7069,7069.pdf,[21-02-2026] Civil Engg. PhD Entrance Test Syllabus 2025-26,.pdf,7069.pdf
7068,7068.pdf,[19-02-2026] Syllabus for Ph.D. entrance test-2025-2026(Electrical),.pdf,7068.pdf
7067,7067.pdf,[19-02-2026] Syllabus for Ph.D Programme in Botany-2026,.pdf,7067.pdf
7066,7066.pdf,[19-02-2026] Syllabus for Ph.D Programme in Economics-2026,.pdf,7066.pdf
7065,7065.pdf,[19-02-2026] Syllabus for Ph.D Programme in Zoology-2026,.pdf,7065.pdf
7064,7064.pdf,"[19-02-2026] Online Ph.D viva of Peerzada Salim , Department of Arabic",.pdf,7064.pdf
7063,7063.pdf,[16-02-2026] DatesheetB.Sc. N. 2nd 3rd 4th & 5th Semesters Exam March 2026,.pdf,7063.pdf
7062,7062.pdf,[16-02-2026] Datesheet B.Sc. N. 3rd & 4th Supplementary Exam Feb 2026,.pdf,7062.pdf
7061,7061.pdf,[16-02-2026] syllabus for entrance test for admission to Ph.D in Tourism and Hospitality,.pdf,7061.pdf
7060,7060.pdf,[16-02-2026] Ph.D Entrance Syllabus-2026,.pdf,7060.pdf
7059,7059.pdf,"[16-02-2026] PH.D. ENTRANCE SYLLABUS DEPARTMENT OF MATHEMATICAL SCIENCES, -2025 – 26",.pdf,7059.pdf
7058,7058.pdf,"[11-02-2026] Oct 2025 Nursing Academic Arrangement Advertisement ",.pdf,7058.pdf
7057,7057.pdf,[11-02-2026] even semester fee,.pdf,7057.pdf
7056,7056.pdf,[08-02-2026]  Mandatory Prior Coordination for NCC Unit Services,.pdf,7056.pdf
7054,7054.pdf,"[04-02-2026] Notice for Online Open PhD Viva voce of Mr. Khalid Mehraj, Research Scholar, Department of Management Studies on 11th Feb 2026",.pdf,7054.pdf
7053,7053.pdf,[03-02-2026] Rescheduling of examination for CSE and ITE branches(7th semester),.pdf,7053.pdf
7052,7052.pdf,"[29-01-2026] Circular of Incmoe Tax ",.pdf,7052.pdf
7050,7050.pdf,[28-01-2026] “Detailed Advertisement regarding Engagement of Project Staff (TIDE Grant – PI: Dr. Aadil Ahmad Lawaye)”,.pdf,7050.pdf
7049,7049.pdf,[27-01-2026] Postponement Notification for Theory Examinations scheduled on 29-01-2026 and 30-01-2026 for Integrated-MCA Regular Students (Semester-V) and Integrated-MCA Old Course Backlog Students (Semester-III),.pdf,7049.pdf
7048,7048.pdf,"[24-01-2026] Circular regarding Venue of the Flage Unfurling Ceremony on the Occasion of Republic Day,January 26,2026",.pdf,7048.pdf
7047,7047.pdf,[23-01-2026]  Circular regarding Hosting -At Home- on the occasion of Republic day 2026,.pdf,7047.pdf
7046,7046.pdf,[19-01-2026] {19-01-2026} e-Tenders for providing Security Services in the University Campus Rajouri and off-site campuses,.pdf,7046.pdf
7045,7045.pdf,"[12-01-2026] 'Datesheet MA Economics Semester I and III, Regular and Backlog 2025",.pdf,7045.pdf
7044,7044.pdf,"[02-01-2026] "" Advisory for Safe and Responsible Use of Internet Services in BGSBU""",.pdf,7044.pdf
7042,7042.pdf,[25-12-2025] Order regarding segregation of waste dry-wet at sources shall be mandatory for all stakeholders of the University,.pdf,7042.pdf
7041,7041.pdf,"[25-12-2025] Order regarding to ensure proper cleanliness, maintain Hygieenic condition.",.pdf,7041.pdf
7040,7040.pdf,"[25-12-2025] Date Sheet for End Term Theory Examinations of Integrated MCA and MCA (Odd Semesters) Regular/Backlog, January 2026",.pdf,7040.pdf
7039,7039.pdf,[25-12-2025] B.Tech theory examination datesheet,.pdf,7039.pdf
7038,7038.pdf,[24-12-2025] MTech Theory datesheet,.pdf,7038.pdf
7037,7037.pdf,"[24-12-2025] Notice for Online Open PhD Viva voce of Mr. Aabid Yousuf, Research Scholar, Department of Management studies on 30th Dec 2025",.pdf,7037.pdf
7036,7036.pdf,"[24-12-2025] Ph.d Viva Voce of Mr. Ajaz Ahmed Dar, Research Scholar, Centre for Hospitality & Tourism",.pdf,7036.pdf
7035,7035.pdf,"[24-12-2025] Dr.Shams Kamal Anjum, Associate Dean of students-Nodal officer National Task Force shall be the Coordinator for completion of the survey report",.pdf,7035.pdf
7034,7034.pdf,"[17-12-2025] Minutes of the meeting of decisions taken on Misconduct cases of May, 2025 and July-August, 2025",.pdf,7034.pdf
7032,7032.pdf,"[14-12-2025] Advertisement for Faculty Positions in Physics, Islamic Studies, Computer Science Engineering, and Mechanical Engineering for Academic Year 2025-26",.pdf,7032.pdf
7031,7031.pdf,[12-12-2025] Advisory.,.pdf,7031.pdf
7030,7030.pdf,[05-12-2025] Ph.D. Admission Notification 2025,.pdf,7030.pdf
7027,7027.pdf,[28-11-2025] Advertisement Notice (Assistant Professor Nursing),.pdf,7027.pdf
7026,7026.pdf,[28-11-2025] Advertisement Notice (Tutor Nursing),.pdf,7026.pdf
7025,7025.pdf,[18-11-2025] Meeting Notice for students involved in unfairmeans during the conduct of examination,.pdf,7025.pdf
7022,7022.pdf,[30-10-2025] Syllabus for Super 30 Coaching of IAS / JKAS,.pdf," 7022.pdf"
7020,file/ 7020.pdf,"[29-10-2025] Interview Notice for the post of Junior Research Assistant in the Department of Computer Science, BGSB University",.pdf," 7020.pdf"
7018,file/ 7018.pdf,[17-10-2025] Notice Ph.D. Viva Voce for website upload,.pdf," 7018.pdf"
6028,file/ 6028.pdf,"[11-10-2025] Interview schedule ",.pdf," 6028.pdf"
6027,file/ 6027.pdf,[03-10-2025] Ph.D Viva Umer Riyaz Arabic,.pdf," 6027.pdf"
6026,file/ 6026.pdf,[03-10-2025] Super 30 Coaching of  IAS / JKAS Coaching at BGBSU for Female Aspirants,.pdf," 6026.pdf"
6025,file/ 6025.pdf,"[18-09-2025] Applications are Invited for Research Positions Under DBT Sponsored Project, 'Mission Program on Pediatric Rare Genetic Disorders",.pdf," 6025.pdf"
6024,file/ 6024.pdf,[17-09-2025] Notification of ST Scholarship for the year 2025-26,.pdf," 6024.pdf"
6023,file/ 6023.pdf,[15-09-2025] Notification of (AICTE) Swanath scholarship for Orphan students for the year 2025-26,.pdf," 6023.pdf"
6022,file/ 6022.pdf,[15-09-2025] Notification of National Scholarship for Post Graduate Studies sponsored by (UGC) for the year 2025-26,.pdf," 6022.pdf"
6021,file/ 6021.pdf,[15-09-2025] Notification of (AICTE) Saksham Scholarship Scheme for specially abled students for the year 2025-26,.pdf," 6021.pdf"
6020,file/ 6020.pdf,[15-09-2025] Notification of (AICTE) Pragati Scholarship for girls students for the year 2025-26,.pdf," 6020.pdf"
6019,file/ 6019.pdf,[15-09-2025] Notification for Post Matric Scholarship for Students with Disabilities for the year 2025-26,.pdf," 6019.pdf"
6018,file/ 6018.pdf,"[10-09-2025] Spot Admission against the vacant seats in various Undergraduate (UG), Postgraduate (PG), 2025",.pdf," 6018.pdf"
6017,file/ 6017.pdf,[03-09-2025] Circular regarding instructions for passout students of the academic session 2013-2014 and 2023-2024,.pdf," 6017.pdf"
6016,file/ 6016.pdf,[29-08-2025] Ph.D Viva notification of Ms. Afshan Mirza ( Department of English),.pdf," 6016.pdf"
6015,file/ 6015.pdf,[29-08-2025] Notification of scholarship for ST students,.pdf," 6015.pdf"
6013,file/ 6013.pdf,"[23-08-2025] Ph.D Result Notification of Ms. Diksha Khajuria, Department of Biotechnology ",.pdf," 6013.pdf"
6012,file/ 6012.pdf,"[23-08-2025] Ph.D Result Notification of Musarrat Fatima, Department of Botany ",.pdf," 6012.pdf"
6011,file/ 6011.pdf,[20-08-2025] B.Sc Nursing Self financing registration extension,.pdf," 6011.pdf"
6010,file/ 6010.pdf,[20-08-2025] ' BGSBU ADMISSIONS 2025-26 EXTENSION',.pdf," 6010.pdf"
6008,file/ 6008.pdf,[15-08-2025] Advertisement: Walk-in-Interview for Nursing College Kishtwar 2025-26,.pdf," 6008.pdf"
6007,file/ 6007.pdf,[14-08-2025] Information regarding flag Hoisting Ceremony on the Occasion of Independence Day 2025,.pdf," 6007.pdf"
