7256,"[26-02-2026] Aggregate result of BBA -Semester -VI Examination held in June,2022",7256.pdf,
7255,[10-02-2026] Result of M.A.Urdu semester 2nd batch 2024 examination held in July 2025,7255.pdf,
7254,[10-02-2026] Result of M.A.English semester 2nd batch 2024 examination held in July 2025,7254.pdf,
7253,[10-02-2026] Ph.D result of Mohd Arif Department of Mathematics,7253.pdf,
7252,[10-02-2026] Result of MBAHTM second semester batch 2024,7252.pdf,
7251,[10-02-2026] Backlog Result of MBAHTM second semester batch 2022,7251.pdf,
7250,[10-02-2026] Backlog Result of MBAHTM second semester batch 2023,7250.pdf,
7249,"[05-02-2026] Re-evaluation result of MCA-III, PHYSICS I & III, MS.c Botany, M.A.Islamic studies M.A. Arabic, M.A. Economics",7249.pdf,
7248,[03-02-2026] Ph.D result of Rubaya Yousuf student of Education Dept,7248.pdf,
7246,"[03-02-2026] Result of Four Year Undergraduate Design Your Degree (FYUGDYDP) program (DYD) Semester -I Examination held in December -January,2025/2026.",7246.pdf,
7245,[02-02-2026] Ph.D result of Mr Ajaz Ahmad Dar department of Tourism Management,7245.pdf,
7244,[30-01-2026] Withheld result of M.A Economics semester 1st exams held in Jan Feb 2025,7244.pdf,
7243,[30-01-2026] Withheld result of M.A.Gojri Pahari semester 1st exams held in Jan Feb 2025,7243.pdf,
7242,[30-01-2026] Withheld result of M.A.Urdu semester 1st exams held in Jan Feb 2025,7242.pdf,
7241,[30-01-2026] Withheld result of MCA Semester 1st exams held in Jan Feb.2025,7241.pdf,
7240,[30-01-2026] Withheld result of MBAHTM semester 1st exams held in Jan Feb 2025,7240.pdf,
7239,[30-01-2026] Withheld result of M.A Education semester 1st exams held in Jan Feb 2025,7239.pdf,
7238,[30-01-2026] Withheld result of M.A.Persian sem 1st exams held in Jan. Feb.2025,7238.pdf,
7237,[30-01-2026] Ph.D result of Mr Ajaz Ahmad,7237.pdf,
7236,"[29-01-2026] Result of B.Tech Civil Engineering End-of-Semester-IV (Regular) Examination held in July-August, 2025",7236.pdf,
7235,"[29-01-2026] Result of B.Tech Civil Engineering End-of-Semester-II (Regular) Examination held in July-August, 2025",7235.pdf,
7234,"[29-01-2026] Result of B.Tech Civil Engineering (Lateral Entry) End-of-Semester-VI (Regular) Examination held in July-August, 2025",7234.pdf,
7233,"[29-01-2026] Result of Asiya Firdous D/o Mir Qasim Student of B.A.Arabic (Hons) Semester -III (Backlog) Examinations held in Jan-Feb., 2026",7233.pdf,
7232,[29-01-2026] Result of Mohd Ahmed S/o Mohd Akram Student BBA Semester -V Backlog Examination held in Jan-Feb 2026,7232.pdf,
7231,"[24-01-2026] Result of B.Sc Nursing (Jammu) Semester -IV Examination held in July-August,2025.",7231.pdf,
7228,"[20-01-2026] Withheld result of IMCA batch 2024, semester 1st exams held in Jan. Feb. 2025",7228.pdf,
7227,"[10-01-2026] Result of B.Voc(Tourism and Travel Management) Semester -VI Batch 2022 Examination held in July.,2025.",7227.pdf,
7226,"[10-01-2026] Result of B.Voc (Tourism and Travel Management) Semester -II Examination held in July.,2025",7226.pdf,
7225,"[07-01-2026] Aggregate result of BAR Semester -VI of Mohammad Zafeer S/o Mohd Aslam Examination held in May-June, 2024.",7225.pdf,
7224,[07-01-2026] Overall result of Diploma in Electrical Engineering (Lateral Entry) Batch -2023,7224.pdf,
7223,"[07-01-2026] Overall result of Diploma in Civil Engineering and Lateral Entry, batches 2022-2023",7223.pdf,
7222,"[07-01-2026] Aggregate result of BBA-VI Semester of Irfan Ali Khan S/o Abdul Majid Examination held in May-June, 2025.",7222.pdf,
7221,[06-01-2026] Result of MCA Semester 2nd exam held in July -Aug 2025,7221.pdf,
7220,[06-01-2026] Result of 11-M.A.Eddu.-2023 of semester 2nd backlog,7220.pdf,
7219,[06-01-2026] Result of M.A Education semester 2nd exam held in July -Aug 2025,7219.pdf,
7218,"[02-01-2026] Re-evaluation Result of B.Tech. Electrical Engineering, Semester-II",7218.pdf,
7217,"[02-01-2026] Re-evaluation Result of B.Tech. Computer Science & Engineering, Semester-II",7217.pdf,
